FlightID,RouteCode,Origin,Destination,RouteType,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude
FL100000,DEL-MAA,DEL,MAA,Domestic,2025-11-04,149,Airbus A321,220,168,1002607.41,597390.76,28.5562,77.1,12.9941,80.1709
FL100001,GOI-DEL,GOI,DEL,Domestic,2025-08-13,146,Boeing 737,174,143,828695.5,988028.44,15.3808,73.8314,28.5562,77.1
FL100002,MAA-CCU,MAA,CCU,Domestic,2025-10-15,137,Airbus A320,180,133,660953.12,468695.03,12.9941,80.1709,22.6547,88.4467
FL100003,HYD-MAA,HYD,MAA,Domestic,2025-08-24,75,Airbus A320,180,132,500552.49,407599.01,17.2403,78.4294,12.9941,80.1709
FL100004,BLR-PNQ,BLR,PNQ,Domestic,2025-03-22,80,Boeing 737,174,144,653570.03,423120.23,13.1986,77.7066,18.5821,73.9197
FL100005,BLR-DXB,BLR,DXB,International,2025-03-09,239,Boeing 737,174,163,2253062.65,1510272.64,13.1986,77.7066,25.2532,55.3657
FL100006,BLR-KUL,BLR,KUL,International,2025-12-18,244,Boeing 737,174,147,1961644.9,1446728.94,13.1986,77.7066,2.7456,101.7072
FL100007,DEL-MAA,DEL,MAA,Domestic,2025-02-02,156,Airbus A321,220,178,929203.53,559985.12,28.5562,77.1,12.9941,80.1709
FL100008,JAI-DEL,JAI,DEL,Domestic,2025-05-21,45,Airbus A321,220,186,710579.19,685244.96,26.8242,75.8122,28.5562,77.1
FL100009,BLR-CCU,BLR,CCU,Domestic,2025-08-22,138,Airbus A320,180,129,687069.97,499929.31,13.1986,77.7066,22.6547,88.4467
FL100010,DEL-SYD,DEL,SYD,International,2025-06-17,798,Airbus A350,315,183,3820308.53,3355781.21,28.5562,77.1,-33.9399,151.1753
FL100011,DEL-DOH,DEL,DOH,International,2025-10-18,206,Airbus A321,220,203,2781942.7,1501912.28,28.5562,77.1,25.2731,51.6081
FL100012,GOI-DEL,GOI,DEL,Domestic,2025-11-04,152,Airbus A321,220,175,890996.49,1212154.11,15.3808,73.8314,28.5562,77.1
FL100013,DEL-DXB,DEL,DXB,International,2025-08-15,191,Airbus A321,220,155,2088022.68,1468939.49,28.5562,77.1,25.2532,55.3657
FL100014,AMD-DEL,AMD,DEL,Domestic,2025-06-28,92,Airbus A321,220,175,610747.03,465252.35,23.0772,72.6347,28.5562,77.1
FL100015,BLR-SIN,BLR,SIN,International,2025-08-25,263,Boeing 737,174,87,1131215.45,1562703.13,13.1986,77.7066,1.3644,103.9915
FL100016,MAA-CCU,MAA,CCU,Domestic,2025-09-09,138,Airbus A320,180,152,860918.78,450432.52,12.9941,80.1709,22.6547,88.4467
FL100017,BLR-COK,BLR,COK,Domestic,2025-04-07,58,Boeing 737,174,127,464136.73,466358.45,13.1986,77.7066,10.152,76.4019
FL100018,BLR-MAA,BLR,MAA,Domestic,2025-02-10,45,Boeing 737,174,128,363813.68,406375.89,13.1986,77.7066,12.9941,80.1709
FL100019,DEL-AMD,DEL,AMD,Domestic,2025-03-17,94,Airbus A320,180,158,628991.59,396124.5,28.5562,77.1,23.0772,72.6347
FL100020,AMD-BLR,AMD,BLR,Domestic,2025-11-26,117,Boeing 737,174,143,693375.08,484471.19,23.0772,72.6347,13.1986,77.7066
FL100021,HYD-COK,HYD,COK,Domestic,2025-07-18,89,Airbus A321,220,155,627207.88,509994.63,17.2403,78.4294,10.152,76.4019
FL100022,JAI-DEL,JAI,DEL,Domestic,2025-09-14,53,Airbus A320,180,123,495829.14,653333.55,26.8242,75.8122,28.5562,77.1
FL100023,BOM-DEL,BOM,DEL,Domestic,2025-04-14,115,Airbus A320,180,152,818139.08,499447.64,19.0896,72.8656,28.5562,77.1
FL100024,MAA-CCU,MAA,CCU,Domestic,2025-02-23,138,Airbus A320,180,117,601907.37,462849.39,12.9941,80.1709,22.6547,88.4467
FL100025,BLR-PNQ,BLR,PNQ,Domestic,2025-05-04,91,Boeing 737,174,134,576634.01,473582.11,13.1986,77.7066,18.5821,73.9197
FL100026,DEL-MAA,DEL,MAA,Domestic,2025-07-15,165,Boeing 737,174,154,823248.97,585559.86,28.5562,77.1,12.9941,80.1709
FL100027,GOI-BOM,GOI,BOM,Domestic,2025-03-20,63,Airbus A321,220,184,739810.03,955645.09,15.3808,73.8314,19.0896,72.8656
FL100028,HYD-COK,HYD,COK,Domestic,2025-08-21,99,Airbus A320,180,131,556662.18,456698.67,17.2403,78.4294,10.152,76.4019
FL100029,BLR-CCU,BLR,CCU,Domestic,2025-01-09,151,Boeing 737,174,107,502118.78,467568.38,13.1986,77.7066,22.6547,88.4467
FL100030,DEL-CCU,DEL,CCU,Domestic,2025-03-23,115,Airbus A320,180,119,560439.11,469376.53,28.5562,77.1,22.6547,88.4467
FL100031,BOM-JFK,BOM,JFK,International,2025-04-28,946,Airbus A350,315,227,5587468.37,3516191.32,19.0896,72.8656,40.6413,-73.7781
FL100032,BOM-SIN,BOM,SIN,International,2025-10-06,315,Airbus A321,220,166,2289655.6,1800878.42,19.0896,72.8656,1.3644,103.9915
FL100033,GOI-BOM,GOI,BOM,Domestic,2025-06-19,64,Boeing 737,174,124,563983.32,820404.57,15.3808,73.8314,19.0896,72.8656
FL100034,BLR-PNQ,BLR,PNQ,Domestic,2025-12-11,86,Airbus A320,180,165,724901.95,440877.86,13.1986,77.7066,18.5821,73.9197
FL100035,BOM-CDG,BOM,CDG,International,2025-10-01,537,Airbus A350,315,250,4280153.29,2427667.22,19.0896,72.8656,49.0097,2.5479
FL100036,PNQ-DEL,PNQ,DEL,Domestic,2025-11-04,125,Boeing 737,174,117,509267.28,482868.78,18.5821,73.9197,28.5562,77.1
FL100037,HYD-COK,HYD,COK,Domestic,2025-06-13,87,Boeing 737,174,115,497401.24,434454.44,17.2403,78.4294,10.152,76.4019
FL100038,BOM-BKK,BOM,BKK,International,2025-03-02,254,Boeing 737,174,122,1647842.33,1641869.31,19.0896,72.8656,13.69,100.7501
FL100039,BLR-CCU,BLR,CCU,Domestic,2025-07-24,142,Boeing 737,174,146,942686.68,446133.16,13.1986,77.7066,22.6547,88.4467
FL100040,COK-BOM,COK,BOM,Domestic,2025-04-25,127,Airbus A320,180,136,649763.65,447769.32,10.152,76.4019,19.0896,72.8656
FL100041,BLR-CCU,BLR,CCU,Domestic,2025-05-26,157,Boeing 737,174,110,526129.75,645107.0,13.1986,77.7066,22.6547,88.4467
FL100042,BLR-HYD,BLR,HYD,Domestic,2025-08-02,60,Airbus A321,220,184,680093.13,478311.29,13.1986,77.7066,17.2403,78.4294
FL100043,COK-BOM,COK,BOM,Domestic,2025-04-07,111,Airbus A321,220,177,759630.08,540562.42,10.152,76.4019,19.0896,72.8656
FL100044,DEL-AMD,DEL,AMD,Domestic,2025-07-27,80,Boeing 737,174,131,518448.34,458116.78,28.5562,77.1,23.0772,72.6347
FL100045,AMD-DEL,AMD,DEL,Domestic,2025-11-01,92,Airbus A320,180,126,392031.3,390984.36,23.0772,72.6347,28.5562,77.1
